TRI_16781	SAMEA10943983
TRI_16857	SAMEA10944103
TRI_19339	SAMEA10944036
TRI_19399	SAMEA10944116
TRI_19482	SAMEA10943981
TRI_19524	SAMEA10944124
TRI_19642	SAMEA10943988
TRI_19677	SAMEA10944109
TRI_19720	SAMEA10944079
TRI_19729	SAMEA10944012
TRI_19818	SAMEA10944117
TRI_20956	SAMEA10943980
TRI_21021	SAMEA10944058
TRI_21111	SAMEA10944132
TRI_21181	SAMEA10944134
TRI_21226	SAMEA10944025
TRI_21350	SAMEA10944066
TRI_21405	SAMEA10943973
TRI_21462	SAMEA10944027
TRI_21755	SAMEA10943961
TRI_21838	SAMEA10943954
TRI_22561	SAMEA10944056
TRI_22633	SAMEA10944021
TRI_22672	SAMEA10944035
TRI_22993	SAMEA10944000
TRI_23129	SAMEA10943977
TRI_23760	SAMEA10944083
TRI_23848	SAMEA10944014
TRI_23854	SAMEA10943990
TRI_23876	SAMEA10943950
TRI_24071	SAMEA10944047
TRI_24074	SAMEA10943966
TRI_24083	SAMEA10944070
TRI_24195	SAMEA10944120
TRI_24254	SAMEA10943986
TRI_24374	SAMEA10944023
TRI_24515	SAMEA10943979
TRI_24524	SAMEA10943959
TRI_24525	SAMEA10943970
TRI_24654	SAMEA10943967
TRI_24760	SAMEA10943956
TRI_24798	SAMEA10944057
TRI_24875	SAMEA10944002
TRI_24905	SAMEA10944049
TRI_25327	SAMEA10944045
TRI_25528	SAMEA10943944
TRI_9333	SAMEA10943969
TRI_1	SAMEA10944039
TRI_109	SAMEA10944016
TRI_1120	SAMEA10944074
TRI_1210	SAMEA10943960
TRI_1411	SAMEA10943952
TRI_187	SAMEA10944111
TRI_2422	SAMEA10943992
TRI_24598	SAMEA10943982
TRI_25	SAMEA10944077
TRI_330	SAMEA10944101
TRI_341_1	SAMEA10943945
TRI_341_2	SAMEA10943994
TRI_4189	SAMEA10944072
TRI_4244	SAMEA10944029
TRI_4723	SAMEA10943951
TRI_4858	SAMEA10943971
TRI_4981	SAMEA10943957
TRI_5042	SAMEA10944051
TRI_5247	SAMEA10943968
TRI_5447	SAMEA10943978
TRI_5804	SAMEA10944060
TRI_63	SAMEA10943989
TRI_6414	SAMEA10943998
TRI_6430	SAMEA10943963
TRI_6454	SAMEA10944064
TRI_6514	SAMEA10943946
TRI_6581	SAMEA10944053
TRI_6717	SAMEA10943991
TRI_6774	SAMEA10943972
TRI_6835	SAMEA10944055
TRI_7079	SAMEA10943947
TRI_7343	SAMEA10944033
TRI_7383	SAMEA10944128
TRI_7384	SAMEA10944095
TRI_7692	SAMEA10944031
TRI_7732	SAMEA10944118
TRI_7883	SAMEA10943953
TRI_7963	SAMEA10944075
TRI_8076	SAMEA10943984
TRI_9383	SAMEA10944062
TRI_9400	SAMEA10944105
TRI_9405	SAMEA10944138
TRI_95	SAMEA10943964
TRI_9571	SAMEA10944093
TRI_9674	SAMEA10944142
KWSChamsin	KWSChamsinLP779
KWSScirocco	KWSSciroccoLP509304
Lumai22	PH57
Lankao198	PH78
K35	1500B
TAM_202	1508B
Zhengmai98	1510B
Fuller	1511B
Yumai57	1512B
Cougar	1513B
Laredo	1526B
Bond_CL	1527B
Wanyuanxuan9	1528B
Crimson	1529B
Xinmai9817	1532B
Xiaoyan92	1534B
Arrowsmith	1535B
Shannong20	1538B
WB411W	1541B
Hanmai13	1548B
TAM_303	1549B
Xinmai18	1551B
Antelope	1552B
ShiB05-7388	1559B
Santa_Fe	1560B
Platte	1566B
Halt	1567B
Neosho	1570B
Windstar	1572B
Shi5033	1576B
Jimai585	1581B
Alice	1582B
C104	1585B
Burchett	1586B
Goodstreak	1587B
Shanyou225	1590B
Betty	1591B
Zhoumai13	1592B
Taishan4033	1595B
Rowdy	1596B
Yumai62	1598B
Ripper	1599B
OK00421	1600B
Yumai34	1601B
Kalvesta	1608B
Jiaomai668	1610B
Thunderbolt	1612B
Wanmai19	1613B
Zhengyou7	1615B
Xiaoyan15	1617B
Nongda135	1619B
Heyne	1620B
Sturdy_2K	1624B
Ogallala	1626B
Yuzhan89106	1628B
Zhengyumai9987	1630B
Trego	1631B
Zhengpinmai25	1632B
Ok101	1634B
Wenmai8	1636B
Shavano	1637B
Z39-Dalilengjiao	1639B
Lumai5	1641B
TAM_112	1643B
Oro_Blanco	1646B
Xinyang75256	1649B
Stanton	1650B
Harding	1651B
Tomahauk	1653B
Luomai6	1654B
2137	1658B
Nekota	1659B
Wendy	1662B
Ponderosa	1664B
Luohan8	1665B
Shan229	1666B
Hatcher	1670B
Harry	1671B
Yubao1	1676B
Jinnong207	1677B
Aizao8	1680B
Above	1682B
Kenong199	1683B
Huapei6	1687B
ok_Bullet	1689B
Xiaoyan55	1695B
Alliance	1696B
Jagalene	1697B
Chuanmai7201	1698B
Cossack	1701B
Changhe24	1702B
Lankao86	1703B
Xiaoyan4	1711B
Longhorn	1713B
Jules	1714B
SD97538	1721B
Huaimai22	1722B
Yuma	1723B
Wanyuanbai1	1734B
Cutter	1736B
Shan253	1740B
09J40	1741B
Lankaoaizao8	1742B
Zhengmai005	1744B
Xinong2611	1748B
Tandem	1755B
Xiaoyan503	1757B
Overley	1758B
Kenong1006	1760B
Jinmai49	1762B
Qinmai11	1765B
2174	1766B
Endurance	1775B
Luohan11	1780B
Xiaoyan926	1781A
Changwu131	1783B
Henong825	1786B
Yumai14	1787B
Luomai21	1791B
Yuanfeng175	1792B
Cisco	1797B
Wahoo	1802B
Nongda1193	1803B
Zhengmai9405	1804B
Hallam	1806B
Shan150	1810B
Zhaomin1006-08X3	1814B
Kenong2007	1815B
Prowers	1816B
Liangfeng998	1817B
Kenong9204	1820B
Zhengmai1066	1821B
NC08-2	1823B
Okfield	1824B
Zhengmai0856	1833B
Hondo	1835B
Yunong416	1836B
Intrada	1837B
RonL	1843B
Shixin828	1846B
Keota	1849B
Luohan13	1857B
Xiaoyan39	1858B
Ankor	1862B
Arlin	1869B
Huaimai25	1870B
TAM_111	1873B
Shixin733	1874B
Niobrara	1880B
TAM_400	1882B
Chang6359	1883B
Han4589	1884B
Huangmangbai	1498B
